egs-序号,egs-考点,egs-分值,egs-时间限制,egs-填空题输入大小,egs-题型,egs-试卷类别,egs-基本题型,egs-选项与解析,egs-是否依赖上级父题目,egs-子题目是否可以随机出现,egs-Directions材料题干,egs-Egs对应标签题型,egs-标题
"","","","","","Multiple Choice","英语专业八级","选择题","0--Mayflower.&&0--Separatists.	&&0--Puritans.&&1--Conformists.","0","2","Which has NO direct relationship with the first settlement in America?","人文知识","英语专业八级-人文知识-选择题"
"","","","","","Multiple Choice","大学英语四级+大学英语六级","选择题","0--provided that&&0--now that&&0--so that&&1--in that","0","2","<p style=""text-align: justify"">This is an ideal site for a university ________ it is far from the downtown area.</p>","语法","大学英语四级+大学英语六级-语法-选择题"
"","","","","","Multiple Choice","英语专业四级","选择题","0--Before a mile or so when&&0--For a mile or so after&&0--Further than a mile or so&&1--A mile or so before","0","2","______ they reached the center of the city, they stopped the car at a restaurant.","词汇与语法","英语专业四级-词汇与语法-选择题"
"","","","","","Multiple Choice","大学英语四级","选择题","0--constrained &&0--dominated &&0--restricted &&1--occupied","0","2","<br />Her interest in redecorating the big house kept her ________ for a whole week.<br />","词汇","大学英语四级-词汇-选择题"
"","","","","","Multiple Choice","大学英语六级","选择题","0--trouble&&0--problem&&0--choice&&1--dilemma","0","2","<br />The ________ she is in is whether to get married and live her own life or to stay at home supporting the family.<br />","词汇","大学英语六级-词汇-选择题"
"","","","","","Multiple Choice","大学英语六级","选择题","1--aware of &&0--knowing&&0--recognizing&&0--being aware ","0","2","<br />Though ________ possible punishment, some students are still inclined to cheat on tests.<br />","词汇","大学英语六级-词汇-选择题"
"","","","","","Multiple Choice","大学英语六级","选择题","1--range&&0--span&&0--reach&&0--spread","0","2","<br />The product is aimed at young people in the 18 - 25 age _______.<br />","词汇","大学英语六级-词汇-选择题"
"","","","","","Multiple Choice","大学英语六级","选择题","1--instinct&&0--imagination&&0--reaction&&0--reality","0","2","<br />He always knew what time it was, as if by ________.<br />","词汇","大学英语六级-词汇-选择题"
"","","","","","Multiple Choice","大学英语四级","选择题","0--scarcity &&1--minority &&0--minimum &&0--shortage","0","2","<p><br />Most nurses are women, but in the higher ranks of the medical profession women are in a ________.<br />&nbsp;</p>","词汇","大学英语四级-词汇-选择题"
"","","","","","Multiple Choice","大学英语六级","选择题","0--blocked&&1--flocked&&0--staggered&&0--drifted","0","2","<p>Students ________ to the hall for a lecture given by a famous professor.&nbsp;</p>","词汇","大学英语六级-词汇-选择题"
"","","","","","Multiple Choice","大学英语六级","选择题","1--wreckage&&0--foundation&&0--base&&0--destruction","0","2","<p>Thousands of people, dead or seriously injured, were buried underneath the ______ of the city after the bombing.&nbsp;</p>","词汇","大学英语六级-词汇-选择题"
"","","","","","Multiple Choice","英语专业四级","选择题","1--get through||get through 通过；get over （从病中）恢复，克服困难；get along进展，和睦相处；get across解释清楚，使人了解。&&0--get over &&0--get along&&0--get across","0","2","I wonder if I shall _______ my history examination.","词汇与语法","英语专业四级-词汇与语法-选择题"
"","","","","","Multiple Choice","英语专业四级","选择题","0--persuaded    &&1--prompted ||prompt促使（某人做某事）；persuade劝说；impose强迫某人接受某物；enlighten启发，开启，启迪。&&0--imposed &&0--enlightened","0","2","Fuel scarcities and price increase ________ automobile designers to scale down the largest models and to develop completely new lines of small cars and trucks.","词汇与语法","英语专业四级-词汇与语法-选择题"
"","","","","","Multiple Choice","英语专业四级","选择题","1--ambiguous ||ambiguous意义不明确的，模棱两可的；incompatible彼此不相容的，不能共存的；inaccessible很难到达的，达不到的；insignificant无足轻重的。&&0--incompatible  &&0--inaccessible&&0--insignificant","0","2","His ________ directions confused us; we did not know which of the two roads to take.","词汇与语法","英语专业四级-词汇与语法-选择题"
"","","","","","Multiple Choice","英语专业四级","选择题","0--intentionally&&0--simultaneously &&0--deliberately    &&1--exceptionally
||exceptionally异常地，罕有地；intentionally故意地；simultaneously同时地；deliberately故意，蓄意地。","0","2","His mother and father-in-law who were always ________ kind, were very upset when the marriage broke down.","词汇与语法","英语专业四级-词汇与语法-选择题"
"","","","","","Multiple Choice","大学英语四级","选择题","0--means &&0--way &&0--chance &&1--virtue","0","2","<br />Susan was elected president by ________ of her academic and organizational abilities.<br />","词汇","大学英语四级-词汇-选择题"
"","","","","","Multiple Choice","大学英语六级","选择题","0--spontaneous&&1--original&&0--previous&&0--cautious","0","2","<br />The creating of the first steam-powered machine, by James Watt, was a(n) ________ idea that required thought and great effort.<br />","词汇","大学英语六级-词汇-选择题"
"","","","","","Multiple Choice","大学英语六级","选择题","0--range&&1--span&&0--reach&&0--spread","0","2","<br />Young children have a limited attention ________ and can't focus on one activity for long.<br />","词汇","大学英语六级-词汇-选择题"
"","","","","","Multiple Choice","大学英语六级","选择题","1--guilt&&0--intention&&0--violence&&0--victim","0","2","<br />She can't remember committing the murder, although all the facts point to her ________.<br />","词汇","大学英语六级-词汇-选择题"
"","","","","","Multiple Choice","大学英语六级","选择题","0--accurate&&1--cautious&&0--apparent&&0--aware","0","2","<br />Still, in their journal articles, these researchers are ________ about telling people to give up dieting.<br />","词汇","大学英语六级-词汇-选择题"
"","","","","","Multiple Choice","大学英语六级","选择题","0--in&&0--for&&0--off&&1--up","0","2","<br />Darren has decided to give ________ football at the end of this season.<br />","词汇","大学英语六级-词汇-选择题"
"","","","","","Multiple Choice","大学英语六级","选择题","1--contrive&&0--acquaint&&0--acquire&&0--admit","0","2","<br />Mr. Clark and Mr. Chr&eacute;tien may indeed ________ to make up after years of conflict.<br />","词汇","大学英语六级-词汇-选择题"
"","","","","","Multiple Choice","大学英语六级","选择题","0--attached&&0--shook&&1--tossed&&0--turned","0","2","<br />The fire was started when a passing motorist carelessly ________ a cigarette out of his car.<br />","词汇","大学英语六级-词汇-选择题"
"","","","","","Multiple Choice","大学英语六级","选择题","1--enlarged&&0--adjusted&&0--adopted&&0--afforded","0","2","<br />I went to the photo shop to have my photos _______________ to cover my walls at home.<br />","词汇","大学英语六级-词汇-选择题"
"","","","","","Multiple Choice","大学英语六级","选择题","0--upon&&0--out&&1--through&&0--in","0","2","<br />I've looked ________ all my papers but I still can't find the contract.<br />","词汇","大学英语六级-词汇-选择题"
"","","","","","Multiple Choice","大学英语六级","选择题","0--to spend&&1--to spending&&0--of spending&&0--spending","0","2","<br />I have no objection _____ the evening with them.<br />","词汇","大学英语六级-词汇-选择题"
"","","","","","Multiple Choice","大学英语六级","选择题","0--not wanted&&0--not to want &&1--not wanting&&0--wanting not ","0","2","<br />Realizing that he hadn't enough money and ________ to borrow from his father, he decided to sell his watch.<br />","词汇","大学英语六级-词汇-选择题"
"","","","","","Multiple Choice","大学英语六级","选择题","1--such nice weather&&0--too nice weather &&0--so nice weather&&0--nice weather so ","0","2","<p style=""text-align: justify"">&mdash;What a beautiful day!<br />&mdash;Yes, it's _______ that I'd like to take a walk.</p>","词汇","大学英语六级-词汇-选择题"
"","","","","","Multiple Choice","大学英语六级","选择题","0--such small education&&1--so little education &&0--a such little education&&0--a so small education ","0","2","<br />Mrs. Lindon has _______ that she is unable to get a job.<br />","词汇","大学英语六级-词汇-选择题"
"","","","","","Multiple Choice","大学英语六级","选择题","1--considering that&&0--in that &&0--as soon as&&0--for that ","0","2","<p>Mary has done very well, _______ she has only one year of experience in teaching.<br />&nbsp;</p>","词汇","大学英语六级-词汇-选择题"
"","","","","","Multiple Choice","大学英语六级","选择题","1--provided&&0--unless&&0--except&&0--as soon as ","0","2","<br />You can fly to London this evening _______ you don't mind changing planes in Paris.<br />","词汇","大学英语六级-词汇-选择题"
"","","","","","Multiple Choice","大学英语六级","选择题","0--profit&&0--benefit&&0--occasion&&1--advantage","0","2","<br />I'd like to take __________ of this opportunity to thank all of you for your efforts.<br />","词汇","大学英语六级-词汇-选择题"
"","","","","","Multiple Choice","大学英语六级","选择题","0--compare&&1--separate&&0--establish&&0--contrast","0","2","<br />When doing the wash, it is important to _______ white and colored clothing.<br />","词汇","大学英语六级-词汇-选择题"
"","","","","","Multiple Choice","大学英语六级","选择题","1--reached&&0--did&&0--arrived&&0--drove","0","2","<br />We finally __________ an agreement after a lot of hard argument.<br />","词汇","大学英语六级-词汇-选择题"
"","","","","","Multiple Choice","大学英语四级","选择题","0--fluid&&0--smooth&&1--fluent&&0--flowing","0","2","<p>Though he was born and brought up in America, he can speak ________&nbsp;Chinese.&nbsp;</p>","词汇","大学英语四级-词汇-选择题"
"","","","","","Multiple Choice","大学英语六级","选择题","1--crashed&&0--drove&&0--smashed&&0--swayed","0","2","<p>He lost control of his car at the first bend and __________ into a tree.&nbsp;</p>","词汇","大学英语六级-词汇-选择题"
"","","","","","Multiple Choice","大学英语六级","选择题","0--employed&&1--rescued&&0--healed&&0--exposed","0","2","<p>She was __________ from her poor factory job by a movie director searching for new talent.&nbsp;</p>","词汇","大学英语六级-词汇-选择题"
"","","","","","Multiple Choice","大学英语六级","选择题","0--get out&&0--put in&&0--get in&&1--put out","0","2","<p>Could you __________ the lamp in the bedroom, please?&nbsp;</p>","词汇","大学英语六级-词汇-选择题"
"","","","","","Multiple Choice","大学英语四级","选择题","0--interpretation 
  &&0--meaning
&&0--reason&&1--sense","0","2","<p>His answer was so confused that I could hardly make any ________ of it&nbsp; at all.&nbsp;</p>","词汇","大学英语四级-词汇-选择题"
"","","","","","Multiple Choice","大学英语四级","选择题","1--possibility&&0--chance&&0--approach&&0--way","0","2","<p>All this shows that tax (税) on food has become a real ________.&nbsp;&nbsp;</p>","词汇","大学英语四级-词汇-选择题"
"","","","","","Multiple Choice","大学英语六级","选择题","0--perceive&&0--protest&&0--raise&&1--present","0","2","<br />In preparing scientific reports of laboratory experiments, a student should ______ his results in logical order and clear language.<br />","词汇","大学英语六级-词汇-选择题"
"","","","","","Multiple Choice","大学英语四级+大学英语六级","选择题","0--youth&&0--few youth&&0--more youth&&1--youths","0","2","<p class=""p0"" style=""margin-top: 0pt; margin-bottom: 0pt; text-align: justify"">Some&nbsp;________&nbsp;were&nbsp;seen&nbsp;loafing&nbsp;in&nbsp;the&nbsp;street.</p><!--EndFragment-->","语法","大学英语四级+大学英语六级-语法-选择题"
"","","","","","Multiple Choice","大学英语六级","选择题","1--occupy&&0--compose&&0--think&&0--intensify","0","2","<br />While she waited, she tried to __________ her mind with pleasant thoughts of the vacation.<br />","词汇","大学英语六级-词汇-选择题"
"","","","","","Multiple Choice","英语专业四级","选择题","0--to live     &&1--to live in    ||动词不定式做定语，与其所修饰的词有动宾关系。如果该不定式是不及物动词，其后应有合适的介词。 &&0--living in     &&0--live in ","0","2","Small as the room is, it is comfortable ________.","词汇与语法","英语专业四级-词汇与语法-选择题"
"","","","","","Multiple Choice","大学英语六级","选择题","0--attitude &&0--appearance &&0--effect &&1--impression ","0","2","<br />The book offers some advice about how to make a good ________ at job interviews.<br />","词汇","大学英语六级-词汇-选择题"
"","","","","","Multiple Choice","大学英语四级","选择题","0--collisions &&0--combats &&0--contradictions &&1--conflicts","0","2","<p><br />If the world is to remain peaceful the utmost effort must be made by nations to limit local ________.<br />&nbsp;</p>","词汇","大学英语四级-词汇-选择题"
"","","","","","Multiple Choice","大学英语四级","选择题","0--were objected to having &&0--were objected to have&&1--objected to having &&0--objected to have","0","2","<br />The match was canceled because most of the members ________ a match without a standard court.<br />","词汇","大学英语四级-词汇-选择题"
"","","","","","Multiple Choice","大学英语六级","选择题","0--pay &&1--focus &&0--absorb &&0--promote ","0","2","<br />We must ________ our attention on the question of reducing our cost.<br />","词汇","大学英语六级-词汇-选择题"
"","","","","","Multiple Choice","大学英语六级","选择题","1--Had Mr. Robinson looked&&0--For Mr. Robinson looked 
&&0--Have Mr. Robinson looked&&0--Before Mr. Robinson looked 
","0","2","<br />____________ at the price list, he'd have known what would happen in the end.<br />","词汇","大学英语六级-词汇-选择题"
"","","","","","Multiple Choice","大学英语四级","选择题","0--remain &&0--maintain &&1--sustain &&0--retain","0","2","<br />The branches could hardly ________ the weight of the fruit.<br />","词汇","大学英语四级-词汇-选择题"
"","","","","","Multiple Choice","大学英语四级","选择题","1--urged &&0--swore &&0--doubted &&0--supposed","0","2","<br />John ________ that his daughter write and accept the post.<br />","词汇","大学英语四级-词汇-选择题"
"","","","","","Multiple Choice","大学英语四级","选择题","0--chip &&0--fear &&0--stroke &&1--scrape","0","2","<br />It took us only a few hours to ________ the paper off all four walls.<br />","词汇","大学英语四级-词汇-选择题"
"","","","","","Multiple Choice","大学英语四级","选择题","0--troubled &&1--disturbed &&0--confused &&0--puzzled","0","2","<p><br />However, at times this balance in nature is ________, resulting in a number of possible unforeseen effects.<br />&nbsp;</p>","词汇","大学英语四级-词汇-选择题"
"","","","","","Multiple Choice","大学英语四级","选择题","1--stretching &&0--extending &&0--prolonging &&0--expanding","0","2","<p><br />Having finished their morning work, the clerks stood up behind their desks, ________ themselves.<br />&nbsp;</p>","词汇","大学英语四级-词汇-选择题"
"","","","","","Multiple Choice","大学英语六级","选择题","0--aware&&1--unique &&0--absolute &&0--continual","0","2","Few of the students understand why language is _______ to human beings.","词汇","大学英语六级-词汇-选择题"
"","","","","","Multiple Choice","大学英语六级","选择题","1--effective&&0--able&&0--capable&&0--explicit","0","2","<br />The method he used turned out to be _______ in improving the students' English.<br />","词汇","大学英语六级-词汇-选择题"
"","","","","","Multiple Choice","大学英语六级","选择题","0--limited &&0--made &&0--did &&1--committed ","0","2","The police searched the city in an effort to catch the man who ______ murder last week.","词汇","大学英语六级-词汇-选择题"
"","","","","","Multiple Choice","大学英语六级","选择题","1--positive &&0--senior &&0--virtual &&0--vital ","0","2","They had to examine the dead tiger before they had a _______ answer as to who killed it.","词汇","大学英语六级-词汇-选择题"
"","","","","","Multiple Choice","大学英语六级","选择题","0--visual &&1--critical &&0--favorite &&0--essential","0","2","He could be ________ about everything else in the world, but not about Manet, his loving child.","词汇","大学英语六级-词汇-选择题"
"","","","","","Multiple Choice","大学英语六级","选择题","0--rose &&0--raised &&1--arose &&0--produced  ","0","2","<br />Measures had to be taken in face of the housing problem that ________ in the city.<br />","词汇","大学英语六级-词汇-选择题"
"","","","","","Multiple Choice","大学英语六级","选择题","0--there stands a library &&1--stands a library&&0--a library stands &&0--does a library stand","0","2","By the side of the new teaching hall _________ , built in the 1930s.","词汇","大学英语六级-词汇-选择题"
"","","","","","Multiple Choice","大学英语六级","选择题","1--anyway &&0--any way &&0--in a way &&0--in the way","0","2","<br />No matter what you say, I'm coming ________.<br />","词汇","大学英语六级-词汇-选择题"
"","","","","","Multiple Choice","大学英语六级","选择题","0--concerned &&0--distracted &&1--upset &&0--awful","0","2","I got a little ________ when I learned that the appointment with the general manager was changed to another time.","词汇","大学英语六级-词汇-选择题"
"","","","","","Multiple Choice","大学英语六级","选择题","0--inform of&&1--complain about &&0--report to &&0--care for","0","2","Our neighbour said that if we made more noise he would _______ us to the police.","词汇","大学英语六级-词汇-选择题"
"","","","","","Multiple Choice","大学英语六级","选择题","0--learned from &&0--came into &&1--leaned on &&0--looked at  ","0","2","She __________ him to help her to find answers to her problems.","词汇","大学英语六级-词汇-选择题"
"","","","","","Multiple Choice","大学英语六级","选择题","1--engage in &&0--hope for &&0--choose between &&0--pick on","0","2","<br />People working in the government should not ______ business affairs that might change their political judgement.<br />","词汇","大学英语六级-词汇-选择题"
"","","","","","Multiple Choice","大学英语六级","选择题","0--make &&1--enable &&0--force &&0--realize  ","0","2","The large wings of that bird _________ it to fly very high and fast.","词汇","大学英语六级-词汇-选择题"
"","","","","","Multiple Choice","大学英语六级","选择题","0--calling&&0--preventing &&0--resulting &&1--collapsing","0","2","Twenty years ago it was common to see people _________ from hunger on the streets in that poor nation, but clearly the situation has improved greatly since then.","词汇","大学英语六级-词汇-选择题"
"","","","","","Multiple Choice","大学英语六级","选择题","1--weigh &&0--like &&0--grow &&0--increase ","0","2","After a long period of regular exercise, I now _____ much less than I used to.","词汇","大学英语六级-词汇-选择题"
"","","","","","Multiple Choice","大学英语六级","选择题","0--call out &&0--get ahead &&1--wake up &&0--come to ","0","2","She had to __________ several times a night when her baby was ill.","词汇","大学英语六级-词汇-选择题"
"","","","","","Multiple Choice","大学英语四级","选择题","0--advanced&&0--fastened&&1--accelerated&&0--promoted","0","2","Their economical action ________ the fall of the government.","词汇","大学英语四级-词汇-选择题"
"","","","","","Multiple Choice","大学英语四级","选择题","0--assessment&&0--assignment&&0--exception&&1--access","0","2","<p>Over a third of the population was estimated to have no _________ to the health service.</p>","词汇","大学英语四级-词汇-选择题"
"","","","","","Multiple Choice","大学英语四级","选择题","1--take into account&&0--account for&&0--make up for&&0--make out","0","2","<p>I'd _________ his reputation with other farmers and bussiness people in the community, and then make a decision about whether or not to approve a loan.</p>","词汇","大学英语四级-词汇-选择题"
"","","","","","Multiple Choice","大学英语四级","选择题","0--scolded&&0--charged&&1--accused&&0--punished","0","2","The soldier was _________ of running away when the enemy attacked.","词汇","大学英语四级-词汇-选择题"
"","","","","","Multiple Choice","大学英语四级","选择题","0--am used to&&0--used to&&1--was accustomed to&&0--was familiar to","0","2","<p>In the past grandfather ________ taking a short walk before dinner.</p>","词汇","大学英语四级-词汇-选择题"
"","","","","","Multiple Choice","大学英语四级","选择题","1--access&&0--resort&&0--contact&&0--path","0","2","Only a few people have _________ to the full facts of the incident.","词汇","大学英语四级-词汇-选择题"
"","","","","","Multiple Choice","大学英语四级","选择题","0--procedure&&0--protection&&0--allowance&&1--access","0","2","<p>British government often says that furnishing children with _________ to the information superhighway is a top priority.</p>","词汇","大学英语四级-词汇-选择题"
"","","","","","Multiple Choice","大学英语四级","选择题","1--accused&&0--charged&&0--scolded&&0--cursed","0","2","The shop assistant was dismissed as she was _________ of cheating customers.","词汇","大学英语四级-词汇-选择题"
"","","","","","Multiple Choice","大学英语六级","选择题","0--upon&&0--out&&1--through&&0--in","0","2","<br />He looked ________ the pile, trying to decide which one to pick.<br />","词汇","大学英语六级-词汇-选择题"
"","","","","","Multiple Choice","大学英语四级","选择题","0--dignified&&0--clarified&&1--ackonwledged&&0--illustrated","0","2","<br />Professor Hawing is ________ as one of the world's greatest living physicists.<br />","词汇","大学英语四级-词汇-选择题"
"","","","","","Multiple Choice","大学英语四级","选择题","0--real&&1--actual&&0--apparent&&0--genuine","0","2","<p>The ________ amount of money was not known though we knew that it was large.<br />&nbsp;</p>","词汇","大学英语四级-词汇-选择题"
"","","","","","Multiple Choice","大学英语四级","选择题","0--vigorous&&0--exact&&1--acute&&0--vivid","0","2","<br />Although most birds have only a negligible sense of smell, they have ________ vision.<br />","词汇","大学英语四级-词汇-选择题"
"","","","","","Multiple Choice","大学英语四级","选择题","0--suit&&1--adapt&&0--regulate &&0--coordinate","0","2","<p><br />&nbsp;</p><div align=""left"">&nbsp; The newcomers found it impossible to ________ themselves to the climate sufficiently to make permanent homes in the new country.</div>","词汇","大学英语四级-词汇-选择题"
"","","","","","Multiple Choice","大学英语四级","选择题","0--extended &&0--amounted &&1--added&&0--turned","0","2","<p style=""text-align: justify""><br />&nbsp; Although he has looked through all the reference material on the subject, he still found it hard to understand this point and her explanation ________ only to his confusion.</p>","词汇","大学英语四级-词汇-选择题"
"","","","","","Multiple Choice","大学英语四级","选择题","0--on account of &&1--regardless of &&0--in addition to &&0--not to mention","0","2","<p>Research universities have to keep up with the latest computer and scientific hardware ________ price.<br />&nbsp;</p>","词汇","大学英语四级-词汇-选择题"
"","","","","","Multiple Choice","大学英语四级","选择题","1--acquaintance &&0--associate &&0--recognition &&0--acknowledgement","0","2","<br />It was in the United States that I made the _______ of Professor Jones.<br />","词汇","大学英语四级-词汇-选择题"
"","","","","","Multiple Choice","大学英语四级","选择题","0--adopt &&1--acquire &&0--accumulate &&0--assemble","0","2","<p>If people feel hopeless, they don't bother to ________ the skills they need to succeed.</p>","词汇","大学英语四级-词汇-选择题"
"","","","","","Multiple Choice","大学英语四级","选择题","0--accurate &&0--urgent &&1--adequate &&0--excessive","0","2","<div align=""left"">By law, when one makes a large purchase, he should have ________ opportunity to change his mind.</div>","词汇","大学英语四级-词汇-选择题"
"","","","","","Multiple Choice","大学英语四级","选择题","0--treated &&1--adjusted &&0--adopted &&0--remedied","0","2","<div align=""left"">Tom's camera can be ________ to take pictures in different conditions.</div>","词汇","大学英语四级-词汇-选择题"
"","","","","","Multiple Choice","大学英语四级","选择题","0--adapt &&0--bring &&0--receive &&1--adopt","0","2","<p><br />The old couple decided to ________ a boy and a girl though they had three of their own.<br />&nbsp;</p>","词汇","大学英语四级-词汇-选择题"
"","","","","","Multiple Choice","大学英语四级","选择题","0--is assigned &&0--will be assigned &&1--be assigned &&0--has been assigned","0","2","<p>I don't think it advisable that Tom ________ to the job since he has no experience.</p>","词汇","大学英语四级-词汇-选择题"
"","","","","","Multiple Choice","大学英语四级","选择题","0--valuable &&0--probable &&1--advisable &&0--considerable","0","2","<p><br />&nbsp; If the test taker finds an item to which an answer is not known, it may be ________ to leave it blank and go on with the test.<br />&nbsp;</p>","词汇","大学英语四级-词汇-选择题"
"","","","","","Multiple Choice","大学英语四级","选择题","0--analyse &&0--publish &&0--anticipate &&1--announce","0","2","<p><br />I am pleased to ________ that the Board has agreed to create 500 new jobs in our sales division.<br />&nbsp;</p>","词汇","大学英语四级-词汇-选择题"
"","","","","","Multiple Choice","大学英语四级","选择题","0--manifest &&0--articulate &&1--anticipate &&0--monitor","0","2","<p>The doctors don't ________ that he will live much longer.<br />&nbsp;</p>","词汇","大学英语四级-词汇-选择题"
"","","","","","Multiple Choice","大学英语四级","选择题","0--relatively &&0--actually &&1--annually &&0--comparatively","0","2","<br />Floods cause billions of dollars worth of property damage ________.<br />","词汇","大学英语四级-词汇-选择题"
"","","","","","Multiple Choice","大学英语四级","选择题","0--concer&&1--anxieties&&0--complaints &&0--careness","0","2","<p>The doctor's report removed all their ________.<br />&nbsp;</p>","词汇","大学英语四级-词汇-选择题"
"","","","","","Multiple Choice","大学英语四级","选择题","0--blank &&0--hollow &&0--vacant &&1--bare","0","2","<p><br />Although they plant trees in this area every year, the tops of some hills are still ________.<br />&nbsp;</p>","词汇","大学英语四级-词汇-选择题"
"","","","","","Multiple Choice","大学英语四级","选择题","0--batteries &&1--bargains &&0--baskets &&0--barrels","0","2","<p><br />Some people would like to do shopping on Sundays since they expect to pick up wonderful ________ in the market.<br />&nbsp;</p>","词汇","大学英语四级-词汇-选择题"
"","","","","","Multiple Choice","大学英语四级","选择题","1--on which to base &&0--which to base on &&0--to base on &&0--to be based on","0","2","<p><br />The professor could hardly find sufficient grounds ________ his arguments in favor of the new theory.<br />&nbsp;</p>","词汇","大学英语四级-词汇-选择题"
"","","","","","Multiple Choice","大学英语四级","选择题","0--void &&0--virgin &&1--barren &&0--wretched","0","2","<p><br />&nbsp; Many people think of desert as ________ regions, but numerous species of plants and animals have adapted to life there.<br />&nbsp;</p>","词汇","大学英语四级-词汇-选择题"
"","","","","","Multiple Choice","大学英语四级","选择题","1--barrier &&0--fence &&0--prevention &&0--jam","0","2","<p><br />Deserts and high mountains have always been a ________ to the movement of people from place to place.<br />&nbsp;</p>","词汇","大学英语四级-词汇-选择题"
